Protein Name,D8_KO1,D8_KO2,D8_KO3,D8_KO4,D8_WT_1,D8_WT_3,D8_WT_4,D8_WT_5
PGBM_MOUSE,-0.669595072,-0.762356944,-0.810742539,-0.797148886,-1.256476605,-1.084845274,-0.987081433,-1.085026071
ARF1_MOUSE,-0.48463245,-0.441329544,-0.641059631,-0.479335834,-0.74492844,-0.991420334,-0.762462244,-0.92112101
THIKA_MOUSE,-0.902784123,-1.085495517,-1.194738959,-1.133478202,-1.275034642,-1.475900309,-1.429959902,-1.506177511
BACH_MOUSE,0.298244781,0.245127874,0.211955546,0.21981264,-0.069412901,-0.199535375,-0.097142433,-0.028172626
CALR_MOUSE,0.450202071,0.286207332,0.169049489,0.238619387,0.012107132,-0.206958457,-0.012850621,-0.015241891
DDX1_MOUSE,-0.267995232,-0.399550083,-0.499743929,-0.410215319,-0.673465127,-0.82007736,-0.748406977,-0.697037984
RS17_MOUSE,-0.263269373,-0.480863694,-0.471887059,-0.574894518,-0.720391057,-0.839986674,-0.896905612,-0.690218508
RAP1A_MOUSE,-0.691294464,-0.895836466,-0.950663362,-0.903386977,,,,-1.199385428
SND1_MOUSE,-0.572318989,-0.73584805,-0.801489381,-0.788918799,-0.894601933,-0.959513799,-1.242785471,-1.157343232
LSP1_MOUSE,-0.509312928,-0.509150013,-0.499425193,-0.620359782,-0.71895766,-0.94551143,-0.75666027,-1.072079657
1433B_MOUSE,0.324065678,0.238284618,0.099667817,0.189001219,-0.063666508,-0.200542783,-0.110147625,-0.125879122
CATZ_MOUSE,-0.038403996,-0.237423678,-0.233469598,-0.361505038,-0.634681639,-0.826344629,-0.32242273,-0.438125554
MINK1_MOUSE,-0.468497404,-0.482259324,,-0.529892594,-0.796361338,-0.876559606,-0.816506286,
MYPT2_MOUSE,-0.311533249,-0.315986893,-0.359025969,-0.312118394,-0.702087894,-0.728358314,-0.677858898,-0.53527887
PDLI3_MOUSE,0.716269392,0.57200167,0.341822365,0.54634528,0.337430434,0.233003984,0.056954639,0.2181329
NONO_MOUSE,0.309115305,0.112748549,0.034990055,0.05246481,-0.171067927,-0.173483454,-0.186927113,-0.280571182
THIKB_MOUSE,-0.830303551,-1.022884473,-1.138256217,-1.205896186,-1.243989665,-1.40532391,,-1.485175525
TYB4_MOUSE,0.531127866,0.453805788,0.303652387,0.448718322,0.210932528,-0.081972585,0.129468574,0.177179849
VATA_MOUSE,-0.288767254,-0.626526222,-0.581499582,-0.588964577,-0.797628767,-0.893682539,-0.83386777,-0.859470475
AR6P4_MOUSE,-0.748401865,-0.725028982,-0.854604278,-0.841949416,,-0.996213438,-1.157234999,-1.19378815
EST1_MOUSE,-0.52276214,-0.553227997,-0.651270987,-0.747534821,-0.826356719,-1.046157909,-1.065556439,-0.827435179
MDHC_MOUSE,-0.134244456,-0.31886838,-0.40604683,-0.296430372,-0.519529774,-0.674466816,-0.612640189,-0.63664255
PERI_MOUSE,-0.49096243,-0.587862094,-0.764616566,-0.541789022,-0.939975527,-0.977960097,-0.834349585,-0.918198543
SPA3G_MOUSE,0.616218113,0.723198787,0.663011112,0.491919921,0.200120065,0.347986114,0.301970985,0.360738815
SET_MOUSE,-0.641478613,-0.626061067,-0.788879727,-0.774376012,-0.962157255,-1.156761173,,-0.965753972
SFPQ_MOUSE,0.161476529,-0.0171802,-0.120246338,-0.027815575,-0.161521617,-0.355141444,-0.354811793,-0.412037117
K1C19_MOUSE,0.002384172,-0.194041332,-0.376427342,-0.204410344,-0.419213586,-0.604892352,-0.500914078,-0.525751197
GRP78_MOUSE,-0.143337345,-0.290528157,-0.426385234,-0.311969051,-0.568121738,-0.716790063,-0.540391426,-0.622767083
