Mass_Tag_ID,P1A_,P1B_,P2A_,P2B_,P3A_,P3B_,P4A_,P4B_,P5A_,P5B_,P6A_,P6B_
6688902,,-0.071572704,-0.300951678,0.279707794,-0.612769722,0.944213942,,-0.599388995,1.549149213,0.638211996,1.48022038,0.884917465
6689158,0.411784068,0.337956295,0.056345579,-0.001767235,0.445554967,0.566140118,-0.748757206,-0.075650827,-0.186106673,-0.306466644,-0.021742689,0.145202718
6689416,-0.190637204,-0.771209357,-0.639116629,0.236407114,,-0.208441794,2.671510678,0.532238491,1.295477407,0.01696277,-2.194527182,0.072840027
6689587,1.233014147,0.489254201,1.83473067,0.666962145,1.30233441,1.38388472,0.842067883,1.379630486,0.82403673,0.831233146,0.735189967,0.652034576
6694465,0.765507606,0.252730823,0.556844741,0.919930086,0.776989206,0.808717043,0.128352287,-0.007447796,0.29707415,0.244048776,0.131310897,0.908840228
6694578,-0.482746554,,-0.514615065,,0.166451254,0.391615855,-1.830095857,-0.794485002,-1.640715601,-1.576454226,,-2.146796469
6694703,,1.284726428,0.840358748,1.275693918,-0.225802841,-0.242267351,-0.875367624,0.149569542,-0.053680272,1.730021808,0.872241072,1.261507306
6694723,0.115664058,0.069917282,-0.054754194,0.328633644,0.445124963,0.038121842,0.90996148,0.462664909,-0.18614003,0.248824808,0.641285043,0.078818092
6695877,0.262861311,-0.149839011,0.527229226,0.676848078,0.772907161,1.173435307,0.665140978,-0.059215714,-0.42635167,0.389507956,0.815244038,0.468192144
6696065,0.242013736,-0.241442484,0.066710071,-1.183069867,-0.750740571,-0.804402052,0.713673365,0.586594129,-0.574325266,-0.338054249,-0.444226774,-0.62399929
6696727,0.0487409,0.026896835,-0.169108549,0.2074649,-0.014881905,0.565993084,0.562360587,-0.177926512,1.615352853,0.29929173,1.013099419,0.71499206
6698626,0.295890287,-0.259037904,-1.429274165,-0.352910667,0.132848065,-0.187167406,0.266695328,-1.091504897,0.308700598,-0.855887144,0.002554162,-0.238419227
6700397,-0.265188591,1.41E-05,-0.57570148,-0.344988872,-0.42715046,-0.241938756,-1.375426882,-1.439375193,-0.710528415,0.416337683,-0.963218183,-1.107626531
6700555,1.5142361,2.580666721,-0.363646801,1.83879652,0.982321736,-0.460640475,0.451173374,-0.198834063,,-0.642583945,1.286447353,0.911056289
6701581,-0.49610503,-1.366121578,,,-1.252499101,,0.49942638,-0.702561476,-1.31034632,-0.936522235,,-0.722032664
6701619,-0.718213682,-1.474669892,-1.596136621,-1.349933374,-0.368778752,2.130114757,-2.190469004,-0.129680162,1.261783851,-1.559343661,-0.557973049,-0.16684242
6701814,-0.134485036,-1.46385646,-0.848415576,-1.03877284,-0.082967104,0.054791717,-1.805325349,-0.750760626,-1.133097649,-1.487438867,-1.745166292,-1.296172319
6701902,0.169278065,,0.441889703,,1.234575143,1.081463708,-1.491639279,0.689677832,-0.728652684,-1.354192008,-1.399860614,-0.865146734
6701913,-0.075566642,0.494360926,0.717934347,-0.624365418,0.354208534,-0.586727234,0.520448673,-0.211631405,-1.660222394,0.435437849,-0.075225221,-0.50291032
6702350,-0.061834173,-0.647026509,-0.083199841,-0.503809215,0.310268034,-0.747958303,-0.717836613,0.087519846,0.217891721,-0.546700997,-0.821190493,0.919794107
6702425,,1.304332769,1.674885774,0.811290794,1.853907943,0.216342144,0.471938147,1.82560948,2.059280238,0.899388905,1.380537784,2.688618474
6702472,0.496858084,0.344163424,1.316921908,0.001045921,,-0.397023154,-0.175424289,1.271300058,4.54342569,1.304794451,0.241209574,1.28175365
