Mass_Tag_ID,A1_run1,A1_run2,A2_run1,A2_run2,A3_run1,A3_run2,B1_run1,B1_run2,B2_run1,B2_run2,B3_run1,B3_run2
6954783,166241,246288.5,52984,264553.5,44619,90954,,,,,69179,
6954828,2246433.667,7057740.25,219209.5,921467.75,212252.75,444741,1876402,2220561.833,4020537.5,6871826,1767972.833,2125979
6954856,4416181,7580984,2063689,6395557,485757.5,4927775,6658575.5,9432444.5,4404354,5702418,5785304.5,7408111
6954938,330583,336336.5,31635,1550116,,168273,369263.5,949119.5,827751.5,581574,777420.5,267978
6954971,,386859,236766.5,366891,8186,15799,,,,,1053469,881698.5
6954976,160411.5,,17762.5,,32931,56288,,,,,207430.5,317420.5
6954978,433358,657017,371825,1134146,42616.5,631187,467329.5,616674.5,409994.5,432730,617983,541224
6954995,1879214.25,2078679.25,703143,3373594,786311,893911.75,1462378.5,2456627,2050199.75,1982088.25,1300201.5,1243659
6954996,381954,604349.5,890132.5,1026835.5,32460,1005222,1002039.5,1051984.5,409164.5,527905,1560752,1873014
6955001,107230.5,81836.5,,108769,,475577.5,,,77991.5,24255,,
6955005,1564292,1103519.5,898279.5,1376890,988096.5,1170078,1211650.5,1483584.5,958179.5,1055198.5,1355059,1388773.5
6955012,9076827,10013090.5,5654698.5,13086543.5,5268870,7446823.5,9092079,12770152.5,7849795.5,8477735,9967940,10318944.5
6955014,5488058.5,5884492,2568260.5,8273903,4358928.5,4304280,7134732.5,11397089.5,6918859.5,7763226.5,6594057.5,6567008.5
6955022,247607.5,263903,341220.5,707323.5,54947.5,748942.5,741797,576198.5,494111.5,658072,812243,579165.5
6955036,1175119.5,1094497,136768.5,615454.5,35725.5,65333,78993.5,107346.5,149520.5,295320.5,434575.5,357991
6955037,1297894,1519390.5,418471,2082626.5,384260.5,536727.5,1043010.5,1373074.5,1094868,1192300,1173248.5,1243785.5
6955038,4457824,922993.5,,,,172265,,,,,29907114.5,37948488.5
6955040,2876827.5,4689111,1958135,2660203.5,465012.5,4316360,783825.5,5702253.5,2061294.5,3092936,4022449,3596871.5
6955043,5037886.5,6381830,2736568.5,11379060,799090.5,4026649,4962111.5,8803384.5,6015564,6082538.5,5846612,5464391.5
6955052,2322853,3357785.5,1994730,3881305,595058.5,2097124.5,3477776,4039711.5,1843461.5,2263781.5,1807115.5,2144225
6955053,21426213,29465504,9231331.5,33028893.5,1471661,11092472,24439866.5,36284341.5,23446865,23459911.5,18128051,18202644.5
6955055,373798.5,249517,22995,116442,265931,135283,165568,278855,382239.5,90017.5,359177,288381.5
6955060,46237,,,,,46495,,,,76226,,
6955086,14055387.5,17740418.5,77275,2672349,,1766367,,,,,53985138.5,58182950
6955105,7404161.5,11809400.5,12261900,29256862.5,3347792,13475156,17388484,28115118,5091690.5,5234209.5,12264537.5,15612456.5
6955108,856461.5,951346,550596.5,2510615.5,6172,677702.5,953050.5,1897948.5,920958,1053320.5,1955665,1323733.5
6955116,505517,301197,67888.5,473583.5,,97494,,,20552,,1754288.5,1448414
6955117,2407841.5,1192198,920832.5,49356,266655.5,801538.5,1107187,1885588,2006417,2613521.5,2025615,3398723.5
6955130,394899,142509,557487,1356993,116918,235946.5,38441,20385,215021,370581.5,2736620,2882875.5
6955133,3255960,3758055.5,1799644,3667352,559097,3150505,6774860,9983445.5,4924322.5,5035900,2340971,2110943
6955140,3968114,8257406.5,2150319,8089738.5,93931,5188792,6162306.5,9516896,5958291,7200410,4047682.5,5607878
6955158,11370474.5,12105228,4588407.5,20479826.5,1017238.5,8940012,10412661,15765077.5,12011391,13559625.5,12614231,11120964.5
6955167,,,27828.5,,,69184,,,,,,59258
6955250,1362228,1354973,588565,1608958.5,209342,1244873.5,1085173,1882800.5,295765,573931,1371424,1204753
6955279,16708464.5,30211420.5,7950099,24810811.5,2096336,15536966,22089726.5,37081978.5,14230868.5,18862468,13872341.5,19893387
6955281,731402,1019247,193306.5,355772,,54476,78053,237713.5,32621,247902.5,1610888.5,1733519
6955290,2287798.5,4141013,1155647.5,1283240,263916.5,1775968.5,2332485,3648102,2138150,3018943,1628362,2480069.5
6955362,3100406.5,4213807,1649068,5354018,329843,2672174,2752993.5,4903349.5,3303469,3617945,3704852,3157772
6955366,369888,578899,100197.5,,,306395,,,,,224448,574548
6955371,4206752,6839216,,914927,101337,2314761.5,,,,75789.5,2959863,4259182
6955603,,,26257.5,,,103690.5,,,,111662,112590,
6955622,594497,465008.5,207233.5,949896,272478,449204.5,,1101186.5,,777439.5,1056371,1025920
6955744,3978038.5,5590550,2669983.5,7598192,505354,3131986.5,4823043.5,7496823,3922520,4901748,4362489,5087117.5
6955793,2508418,2877960.5,1190768.5,4446779,1742535,1863119.5,1969307,3583305,1934545,2022625.5,2051339.5,2152859
6955930,892553.5,1420138,447649.5,2560270.5,1082503.5,674267.5,1605418,2681220,327478,485924,1229384.5,1360287.5
6955953,619870,954019.5,191173.5,951159,315796,453959,307066.5,869645.5,683368,778174,735956.5,780794
6956001,881239,814463,43487,896979,,382139.5,751592,,693707,578391,,635281.5
6956098,2460062,1970873.5,1094130,3183601,1614269.5,1767990.5,2036394,2711456.5,2839586,2582305.5,2890879.5,2154380
6956456,4029210.5,10940033.5,3190540,10734139,621148,3009115.5,7831415.5,12127541.5,8522390.5,4743890.25,9795780.5,10072730
6957228,1376484,1981798.5,698703.5,1635317.5,919874,1220169,1345818,2227900,1534628,1767726.5,2558539.5,2457201
6957246,1028461.5,1917572.5,415619,1963842,839543,1136767.5,1161843.5,2385604,1401664,1600725.5,1059732,1914799.5
6958171,720478,96329.5,64030.5,30560.75,94080,,,,,,6114260,6182410
6958490,510067.5,843165,222295.5,1485392,497771.5,339236.5,428823,789951,835001.5,926662.5,572164,461938.5
6958510,793656.5,1377075.5,252109.5,634164,302985.5,697417,1106650.5,1434182,558536.5,661093,575140,1193033.5
6958587,,,14265,,47205,62281,,,405463.5,706458.5,113680,152008.5
6958762,2161463.5,4874143.5,596658,2633297,209620.5,1660845,2484101,3743475,1610636,2284522,2110035,2945806
6958957,2532195,5034350.5,555050.5,2309680.5,522717,1346814,1266047.5,2929446.5,1258089,1423786.5,2330934.5,3562156.5
6959124,5701258,5525900.5,2447223,7462127,4555150.5,3757882.5,6040597,9270486,5246902,6146887.5,2188421,2354563
6959127,1571222,1224480.5,60925.5,419590,,,,,10897,138918.5,13506,14640
6959132,189865741.5,229977668.5,84640850.5,245893539,21006265,105730026,121760799.5,194958887,146675763,166987975,191187405.5,195149901
6959135,,,1122580.5,,,114583.5,119724.5,,67303,,439435,882088
6959136,542683.5,,41345,116083.5,,837103,1024175,821737.5,700843,261190,882920,842573.5
6959151,93966.5,65692.5,151670.5,410518,34287,26232.5,88734.5,133292.5,,,128757.5,133214
6959159,1374914.5,430750,299817.5,21810,453569.5,508837,,,,,483763,1034785
6959161,172763,137680,266467,689101,146317,162347.5,184168.5,112489.5,150646.5,144157.5,194783.5,102408.5
6959173,200182066,220306847.5,120670763,311659956,35517337.5,90397685,200276999,309487000,178584035.5,186636020.5,219959072.5,215774173
6959176,,,310505,,31102.5,,,,,,,4617096.5
6959185,177027.5,82569,408959,275799,570964,466662.5,671553,1390612.5,223479.5,155775,328829,391925
6959186,14418835.5,15610552.5,3403016,13101666,813705.5,4835865,3308315.5,5861121,6546952.5,9591407,24892692,25857980.5
6959209,253604,34991,,,,,,,,,69718,86972
6959212,795297,456732,1343044.5,379979.5,92561.5,1319004.5,1674018.5,2215012.5,1516684.5,625321.5,3329679,5397493
6959218,1126595.5,1779820.5,420496.5,1878291,,826995.5,701953.5,639405,938269.5,1601027,953710,1009090.5
6959221,618973.5,874660.5,479181,1874910.5,54590.5,809610.5,586317,1049933,,,868151,652481
6959222,25717,113524.5,40364.5,75857.5,27585,30032.5,24260,45727.5,51527.5,59323.5,97195.5,30154.5
6959226,9421721.5,10802951.5,2720173,9963334,3022313,4085602.5,1844061.5,2780067,2605420.5,2766001.5,8705615,7047243
6959230,1881596,2848334.5,962788,3338644,94738.5,1763856,1858956.5,2709727.5,1568775.5,1801518,2116768,1840656.5
