Mass_Tag_ID,Ref_ID,Reference
6954856,16944,IPI:IPI00514912.1
6954971,4854,IPI:IPI00220644.6
6954971,5881,IPI:IPI00383237.3
6954971,7656,IPI:IPI00479186.2
6954978,27903,IPI:IPI00440662.1
6954978,15524,IPI:IPI00186290.5
6954996,19246,IPI:IPI00549682.1
6954996,19023,IPI:IPI00465439.4
6955005,9702,IPI:IPI00243603.5
6955005,4854,IPI:IPI00220644.6
6955005,5881,IPI:IPI00383237.3
6955005,7656,IPI:IPI00479186.2
6955012,21951,IPI:IPI00387144.4
6955012,15373,IPI:IPI00166768.1
6955012,21505,IPI:IPI00180675.4
6955012,21584,IPI:IPI00218343.4
6955012,21776,IPI:IPI00328163.1
6955014,14962,IPI:IPI00019502.1
6955022,14158,IPI:IPI00455463.1
6955022,5831,IPI:IPI00382470.2
6955037,15431,IPI:IPI00169383.2
6955038,31862,IPI:IPI00376163.2
6955038,35834,IPI:IPI00299633.3
6955038,35946,IPI:IPI00554778.1
6955038,42096,IPI:IPI00220828.4
6955038,45940,IPI:IPI00180240.2
6955043,12151,IPI:IPI00021716.1
6955052,25779,IPI:IPI00411704.2
6955052,35586,IPI:IPI00218084.4
6955052,25041,IPI:IPI00006935.1
6955052,15224,IPI:IPI00069363.3
6955052,25611,IPI:IPI00376005.1
6955060,5831,IPI:IPI00382470.2
6955060,14158,IPI:IPI00455463.1
6955086,45940,IPI:IPI00180240.2
6955086,31862,IPI:IPI00376163.2
6955086,35834,IPI:IPI00299633.3
6955086,35946,IPI:IPI00554778.1
6955086,42096,IPI:IPI00220828.4
6955105,28799,IPI:IPI00012011.3
6955108,27295,IPI:IPI00013683.2
6955108,27457,IPI:IPI00152453.1
6955108,27465,IPI:IPI00160897.3
6955108,28058,IPI:IPI00549172.2
6955108,27265,IPI:IPI00007752.1
6955117,2570,IPI:IPI00003865.1
6955117,12368,IPI:IPI00037070.1
6955130,15524,IPI:IPI00186290.5
6955133,12368,IPI:IPI00037070.1
6955133,2570,IPI:IPI00003865.1
6955140,15619,IPI:IPI00217966.4
6955158,2570,IPI:IPI00003865.1
6955158,12368,IPI:IPI00037070.1
6955250,4854,IPI:IPI00220644.6
6955250,5881,IPI:IPI00383237.3
6955250,7656,IPI:IPI00479186.2
6955279,25143,IPI:IPI00025447.3
6955279,25988,IPI:IPI00472724.1
6955279,25086,IPI:IPI00014424.1
6955279,21878,IPI:IPI00382804.1
6955279,20867,IPI:IPI00513808.1
6955281,5881,IPI:IPI00383237.3
6955281,7656,IPI:IPI00479186.2
6955281,4854,IPI:IPI00220644.6
6955290,3377,IPI:IPI00027165.1
6955290,4854,IPI:IPI00220644.6
6955290,5584,IPI:IPI00334779.2
6955290,5881,IPI:IPI00383237.3
6955290,7656,IPI:IPI00479186.2
6955366,43137,IPI:IPI00375400.2
6955366,43059,IPI:IPI00027350.1
6955366,28332,IPI:IPI00000874.1
6955622,5881,IPI:IPI00383237.3
6955622,7656,IPI:IPI00479186.2
6955622,4854,IPI:IPI00220644.6
6955744,27287,IPI:IPI00011654.2
6955744,44158,IPI:IPI00217903.3
6955793,39761,IPI:IPI00218570.5
6955793,27735,IPI:IPI00374975.2
6955793,34240,IPI:IPI00385244.4
6955793,34270,IPI:IPI00453476.2
6955793,34294,IPI:IPI00549725.2
6955930,5831,IPI:IPI00382470.2
6955953,5881,IPI:IPI00383237.3
6955953,7656,IPI:IPI00479186.2
6955953,52623,IPI:IPI00220644.5
6955953,53765,IPI:IPI00328347.1
6955953,54799,IPI:IPI00383237.1
6955953,4854,IPI:IPI00220644.6
6956456,26526,IPI:IPI00178083.2
6956456,38918,IPI:IPI00377005.1
6956456,32580,IPI:IPI00455401.3
6956456,27127,IPI:IPI00479185.1
6956456,27115,IPI:IPI00478716.3
6956456,6575,IPI:IPI00413340.1
6956456,42407,IPI:IPI00414667.1
6956456,34251,IPI:IPI00411735.1
6956456,26582,IPI:IPI00218319.2
6956456,26583,IPI:IPI00218320.2
6957246,30896,IPI:IPI00026260.1
6957246,30948,IPI:IPI00029091.1
6958490,32692,IPI:IPI00465028.4
6959124,27287,IPI:IPI00011654.2
6959124,28062,IPI:IPI00549853.2
6959124,28058,IPI:IPI00549172.2
6959124,27457,IPI:IPI00152453.1
6959124,27390,IPI:IPI00031370.3
6959124,27293,IPI:IPI00013475.1
6959124,27265,IPI:IPI00007752.1
6959124,27295,IPI:IPI00013683.2
6959132,19530,IPI:IPI00021439.1
6959132,19531,IPI:IPI00021440.1
6959132,20939,IPI:IPI00550724.2
6959135,27287,IPI:IPI00011654.2
6959151,15619,IPI:IPI00217966.4
6959151,16570,IPI:IPI00442522.1
6959173,19572,IPI:IPI00025416.1
6959173,50206,IPI:IPI00024323.4
6959173,22264,IPI:IPI00455552.1
6959173,20939,IPI:IPI00550724.2
6959173,20891,IPI:IPI00514530.3
6959173,56286,IPI:IPI00401614.1
6959173,19545,IPI:IPI00023006.1
6959173,19531,IPI:IPI00021440.1
6959173,19530,IPI:IPI00021439.1
6959173,19529,IPI:IPI00021428.1
